ME_PERIOD,BI7DRR,DPOL_IMP_BCAD,GDP_GROWTHYOY_BCAD,INF_YOY_BCAD,KURS_BCAD,OIL_WTI_BCAD,BI7DRR_lag_1,BI7DRR_lag_2,BI7DRR_lag_3,BI7DRR_lag_4,BI7DRR_lag_5,BI7DRR_lag_6,BI7DRR_lag_7,BI7DRR_lag_8,BI7DRR_lag_9,BI7DRR_lag_10,BI7DRR_lag_11,BI7DRR_lag_12,DPOL_IMP_BCAD_lag_1,DPOL_IMP_BCAD_lag_2,DPOL_IMP_BCAD_lag_3,DPOL_IMP_BCAD_lag_4,DPOL_IMP_BCAD_lag_5,DPOL_IMP_BCAD_lag_6,DPOL_IMP_BCAD_lag_7,DPOL_IMP_BCAD_lag_8,DPOL_IMP_BCAD_lag_9,DPOL_IMP_BCAD_lag_10,DPOL_IMP_BCAD_lag_11,DPOL_IMP_BCAD_lag_12,GDP_GROWTHYOY_BCAD_lag_1,GDP_GROWTHYOY_BCAD_lag_2,GDP_GROWTHYOY_BCAD_lag_3,GDP_GROWTHYOY_BCAD_lag_4,GDP_GROWTHYOY_BCAD_lag_5,GDP_GROWTHYOY_BCAD_lag_6,GDP_GROWTHYOY_BCAD_lag_7,GDP_GROWTHYOY_BCAD_lag_8,GDP_GROWTHYOY_BCAD_lag_9,GDP_GROWTHYOY_BCAD_lag_10,GDP_GROWTHYOY_BCAD_lag_11,GDP_GROWTHYOY_BCAD_lag_12,INF_YOY_BCAD_lag_1,INF_YOY_BCAD_lag_2,INF_YOY_BCAD_lag_3,INF_YOY_BCAD_lag_4,INF_YOY_BCAD_lag_5,INF_YOY_BCAD_lag_6,INF_YOY_BCAD_lag_7,INF_YOY_BCAD_lag_8,INF_YOY_BCAD_lag_9,INF_YOY_BCAD_lag_10,INF_YOY_BCAD_lag_11,INF_YOY_BCAD_lag_12,KURS_BCAD_lag_1,KURS_BCAD_lag_2,KURS_BCAD_lag_3,KURS_BCAD_lag_4,KURS_BCAD_lag_5,KURS_BCAD_lag_6,KURS_BCAD_lag_7,KURS_BCAD_lag_8,KURS_BCAD_lag_9,KURS_BCAD_lag_10,KURS_BCAD_lag_11,KURS_BCAD_lag_12,OIL_WTI_BCAD_lag_1,OIL_WTI_BCAD_lag_2,OIL_WTI_BCAD_lag_3,OIL_WTI_BCAD_lag_4,OIL_WTI_BCAD_lag_5,OIL_WTI_BCAD_lag_6,OIL_WTI_BCAD_lag_7,OIL_WTI_BCAD_lag_8,OIL_WTI_BCAD_lag_9,OIL_WTI_BCAD_lag_10,OIL_WTI_BCAD_lag_11,OIL_WTI_BCAD_lag_12
2021-01-31,3.75,-6.57943610840511,0.0,1.55276526406596,14030.0,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-02-28,3.5,14.867380781254,0.0,1.3764098642707,14235.0,55.19,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-03-31,3.5,25.7283443926843,-0.687579470912858,1.36554621848741,14525.0,55.05,3.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-04-30,3.5,29.2703746250558,0.0,1.42175572519085,14445.0,58.66,3.5,3.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.05,55.19,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,3.5,68.6867489867987,0.0,1.67826833222084,14280.0,60.57,3.5,3.5,3.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.66,55.05,55.19,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-30,3.5,60.018772710798,7.07695078336688,1.33257186369693,14500.0,62.91,3.5,3.5,3.5,3.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.57,58.66,55.05,55.19,50.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2021-07-31,3.5,44.4387106638762,0.0,1.51500714626012,14463.0,63.57,3.5,3.5,3.5,3.5,3.5,3.75,0.0,0.0,0.0,0.0,0.0,0.0,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,0.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,0.0,62.91,60.57,58.66,55.05,55.19,50.31,0.0,0.0,0.0,0.0,0.0,0.0
2021-08-31,3.5,55.2623249925529,0.0,1.59199237368921,14268.0,62.22,3.5,3.5,3.5,3.5,3.5,3.5,3.75,0.0,0.0,0.0,0.0,0.0,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,0.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,0.0,63.57,62.91,60.57,58.66,55.05,55.19,50.31,0.0,0.0,0.0,0.0,0.0
2021-09-30,3.5,40.3108011166714,3.52887652413154,1.60228898426324,14313.0,65.89,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,0.0,0.0,0.0,0.0,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,0.0,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,0.0,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,0.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,0.0,62.22,63.57,62.91,60.57,58.66,55.05,55.19,50.31,0.0,0.0,0.0,0.0
2021-10-31,3.5,51.062488410903,0.0,1.65840640487991,14168.0,68.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,0.0,0.0,0.0,40.3108011166714,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,3.52887652413154,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,0.0,1.60228898426324,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,0.0,14313.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,0.0,65.89,62.22,63.57,62.91,60.57,58.66,55.05,55.19,50.31,0.0,0.0,0.0
2021-11-30,3.5,52.6183632860617,0.0,1.74888318600894,14323.0,63.38,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,0.0,0.0,51.062488410903,40.3108011166714,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,3.52887652413154,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,0.0,1.65840640487991,1.60228898426324,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,0.0,14168.0,14313.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,0.0,68.5,65.89,62.22,63.57,62.91,60.57,58.66,55.05,55.19,50.31,0.0,0.0
2021-12-31,3.5,47.8834219858156,4.99411973278034,1.87358062074185,14253.0,68.67,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,0.0,52.6183632860617,51.062488410903,40.3108011166714,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,0.0,0.0,0.0,3.52887652413154,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,0.0,1.74888318600894,1.65840640487991,1.60228898426324,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,0.0,14323.0,14168.0,14313.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,0.0,63.38,68.5,65.89,62.22,63.57,62.91,60.57,58.66,55.05,55.19,50.31,0.0
2022-01-31,3.5,36.6184292455307,0.0,2.18027371401606,14383.0,74.74,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.75,47.8834219858156,52.6183632860617,51.062488410903,40.3108011166714,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,-6.57943610840511,4.99411973278034,0.0,0.0,3.52887652413154,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,0.0,1.87358062074185,1.74888318600894,1.65840640487991,1.60228898426324,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,1.55276526406596,14253.0,14323.0,14168.0,14313.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,14030.0,68.67,63.38,68.5,65.89,62.22,63.57,62.91,60.57,58.66,55.05,55.19,50.31
2022-02-28,3.5,25.4315868827742,0.0,2.0554403168018,14367.0,78.22,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,3.5,36.6184292455307,47.8834219858156,52.6183632860617,51.062488410903,40.3108011166714,55.2623249925529,44.4387106638762,60.018772710798,68.6867489867987,29.2703746250558,25.7283443926843,14.867380781254,0.0,4.99411973278034,0.0,0.0,3.52887652413154,0.0,0.0,7.07695078336688,0.0,0.0,-0.687579470912858,0.0,2.18027371401606,1.87358062074185,1.74888318600894,1.65840640487991,1.60228898426324,1.59199237368921,1.51500714626012,1.33257186369693,1.67826833222084,1.42175572519085,1.36554621848741,1.3764098642707,14383.0,14253.0,14323.0,14168.0,14313.0,14268.0,14463.0,14500.0,14280.0,14445.0,14525.0,14235.0,74.74,68.67,63.38,68.5,65.89,62.22,63.57,62.91,60.57,58.66,55.05,55.19
